Year,Artist,Song Title,Reason
2019,Brett Young,Here Tonight,Sexual Content
2021,Bring Me The Horizon,Can You Feel My Heart,Language
2021,Bring Me The Horizon,Parasite Eve,Language
2013,Britney Spears,Work Bitch,Language
2011,Britney Spears,Hold It Against Me,Sexual Content
2011,Britney Spears,I Wanna Go,Sexual Content
2016,Britney Spears f./Tinashe,Slumber Party,Language
2016,Britney Spears ft G-Eazy,Make Me,Language
2021,BROCKHAMPTON,SUGAR,Language
2021,Bruno Mars,Runaway baby,Content - Sensitive Topic
2016,Bruno Mars 24K Magic,,Language
2018,Bruno Mars Finesse (Remix) [feat. Cardi B],,Language
2011,Bruno Mars The Lazy Song,,Sexual Content
2013,Bruno Mars Locked out of Heaven,,Sexual Content
2013,Bruno Mars Treasure,,Sexual Content
2014,Bruno Mars Young Girls,,Violence
2021,"Bruno Mars, Anderson .Paak, Silk Sonic Leave The Door Open",,Drinking / Drugs / Partying
2016,Bryson Tiller Don't,,Language
2016,Bryson Tiller Exchange,,Language
2016,Bryson Tiller Sorry Not Sorry,,Language
2021,Bryson Tiller Outta Time (feat. Drake),,Sexual Content
2021,BTS Louder than bombs,,Content - Sad
2021,BTS ON (Feat. Sia),,Content - Sad
2021,BTS Dis-ease,,Content - Sensitive Topic
2021,BTS Fly To My Room,,Drinking / Drugs / Partying
2021,BTS Interlude : Shadow,,Drinking / Drugs / Partying
2021,BTS Black Swan,,Sexual Content
2021,BTS UGH!,,Violence
2014,"Busta Rhymes ft. Z-Tip, Kanye West & Lil WaynThank You",,Drinking / Drugs / Partying
2012,Ca$h Out Cashin' Out,,Language
2019,Cadet & Deno Driz Advice,,Language
2019,Calboy Envy Me,,Language
2021,Calvin Harris Over Now (with The Weeknd),,Language
2021,Calvin Harris One Kiss (with Dua Lipa),,Sexual Content
2015,Calvin Harris & Disciples How Deep is Your Love,,Sexual Content
2018,Camila Cabello Never Be the Same,,Drinking / Drugs / Partying
2021,Camila Cabello Don't Go Yet,,Sexual Content
2021,Camila Cabello Liar,,Sexual Content
2019,Camila Cabello Shameless,,Sexual Content
2019,Camila Cabello Living Proof,,Sexual Content
Year,Artist,Song Title,Reason
2020,Camila Cabello Featuring DaBaby,My Oh My,Language / Content
2020,Camila Cabello ft. Young Thug,Havana,Sexual Content
2018,Cardi B,Be Careful,Language
2018,Cardi B,Bodak Yellow,Language
2018,Cardi B,I Like It,Language
2019,Cardi B,Money,Language
2019,Cardi B,Please Me,Language
2021,Cardi B,Up,Language / Content
2020,Cardi B Featuring Megan Thee Stallion,WAP,Language / Content
2020,Carly Pearce & Lee Brice,I Hope You're Happy Now,Content - Sad
2012,Carrie Underwood,Blown Away,Violence
2016,Cash Cash & Digital Farm Animals f./Nelly,Millionaire,Sexual Content
2016,Cashmere Cat f./Selena Gomez & Tory Lanez,Trust Nobody,Language
2019,C-BooL,Catch You,Content - sad
2011,Cee Lo Green,F**K You (Forget You),Language
2016,Chainsmokers ft Halsey,Closer,Drinking / Drugs / Partying
2015,Chainsmokers ft Rozes,Roses,Drinking / Drugs / Partying
2014,Charli XCX,Break The Rules,Drinking / Drugs / Partying
2016,Charli XCX f./Lil Yachty,After The Afterparty,Drinking / Drugs / Partying
2015,Charli XCX ft. Rita Ora,Doing It,Sexual Content
2015,Charlie Puth ft. Meghan Trainor,Marvin Gaye,Sexual Content
2016,Charly Black,Gyal You A Party Animal,Sexual Content
2016,Cheat Codes X Kris Kross Amsterdam,Sex,Sexual Content
2012,Cher Lloyd,Want U Back,Sexual Content
2012,Chief Keef,I Don't Like,Language
2012,Chief Keef,Love Sosa,Language
2018,Childish Gambino,This Is America,Violence
2016,Childish Gambino,Redbone,Language
2009,Chingy,Right Thurr,Language / Content
2011,Chris Brown,Yeah 3x,Drinking / Drugs / Partying
Year,Artist,Song Title,Reason
2015,Chris Brown,Zero,Drinking / Drugs / Partying
2016,Chris Brown,Back To Sleep,Language
2011,Chris Brown,She Ain't You,Sexual Content
2019,Chris Brown,Undecided,Drinking / Drugs / Partying
2020,Chris Brown & Young Thug,Go Crazy,Language / Content
2020,Chris Brown Featuring Drake,No Guidance,Language / Content
2015,Chris Brown ft Tyga,Ayo,Language
2014,Chris Brown ft Usher & Rick Ross,New Flame,Language
2011,Chris Brown ft. Lil Wayne and Busta Rhymes,Look At Me Now,Language
2014,Chris Brown ft. Nicki Minaj,Love More,Language
2015,Chris Brown ft. Tyga and ScHoolboy Q,Bitches and Marijuana,Language / Content
2012,Chris Cagle,Let there be Cowgirls,Religion
2015,Ciara,I Bet,Language
2019,City Girls,Act Up,Language
