Year,Artist,Title,Reason
2021,Drake,Chicago Freestyle (feat. Giveon),language
2021,Drake,From Florida With Love,language
2021,Drake,Losses,language
2015,Drake,Hotline Bling,content - sexual
2018,Drake,I'm Upset,content - sexual
2014,Drake,Worst Behavior,language
2020,Drake,Toosie Slide,language
2016,Drake & Future,Big Rings,language
2016,Drake & Future,Jumpman,language
2016,Drake & Future,Where Ya At,language
2012,Drake feat. Lil Wayne,The Motto,language
2013,Drake feat. Majid Jordan,"Hold On, We're Going Home",language
2012,Drake feat. Rihanna,Take Care,content - sad
2016,Drake feat. Rihanna,Too Good,content - sexual
2016,Drake feat. The Throne,Pop Style,language
2020,Drake Featuring Lil Durk,Laugh Now Cry Later,language
2014,Drake ft. 2 chaniz & Big Sean,All Me,language
2011,Drake ft. Alicia Keys,Un-Thinkable (I'm Ready),language
2021,"Drake, WizKid, Kyla",One Dance,drinking / drugs / partying
2021,Dream,Mask,language
2021,DripReport,Skechers,language
2019,Dua Lipa,Don't Start Now,content - sad
2021,Dua Lipa,We're Good,content - sad
2018,Dua Lipa,New Rules,content - sad
2016,Dua Lipa,Blow Your Mind (Mwah),language
2018,Dua Lipa,IDGAF,language
2021,Dua Lipa,Levitating (feat. DaBaby),language
2021,Dua Lipa,Good In Bed,content - sexual
2021,Dua Lipa,Hallucinate,content - sexual
2021,Dua Lipa,Physical,content - sexual
2021,Eminem,Little Engine Language / Content,n/a
2021,Eminem,Lock It Up (feat. Anderson .Paak) Language / Content,n/a
2021,Eminem,Marsh Language / Content,n/a
2021,Eminem,Never Love Again Language / Content,n/a
2021,Eminem,No Regrets (feat. Don Toliver) Language / Content,n/a
2021,Eminem,Premonition - Intro Language / Content,n/a
2021,Eminem,Stepdad Language / Content,n/a
2021,Eminem,The Real Slim Shady Language / Content,n/a
2021,Eminem,Those Kinda Nights (feat. Ed Sheeran) Language / Content,n/a
2021,Eminem,Unaccommodating (feat. Young M.A) Language / Content,n/a
2021,Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Language / Content",n/a
2021,Eminem,"You Gon' Learn (feat. Royce Da 5'9"" & White Gold) Language / Content",n/a
2021,Eminem,In Too Deep Sexual Content,n/a
2021,Eminem,Alfred - Interlude Violence,n/a
2020,Eminem Featuring Juice WRLD,Godzilla Language / Content,n/a
2014,Eminem ft. Rihanna,The Monster Language / Content,n/a
2015,"Empire Cast, Jussie Smollett & Pitbull",No Doubt About It Drinking / Drugs / Partying,n/a
2014,Enrique Iglesias,Bailando Drinking / Drugs / Partying,n/a
2011,Enrique Iglesias feat. Ludacris and DJ Frank E,Tonight (I'm Lovin' You) Sexual Content,n/a
2014,Enrique Iglesias ft. Pitbull,I'm a Freak Language / Content,n/a
